Nhóm,Giai đoạn / Module,Nhóm chức năng,Hạng mục,Kết quả cần đạt / Ảnh hưởng,Trạng thái,Ưu tiên,Phụ trách,Hoàn thành,Ghi chú
Checklist,Tài liệu bán hàng,Gửi khách,Bước 2 tick từng phần muốn gửi,,Xong,,,,Giới thiệu kèm giá · từng tấm ảnh · video
Checklist,Tài liệu bán hàng,Gửi khách,Xem trước đúng các tin khách sẽ nhận,,Xong,,,,
Checklist,Tài liệu bán hàng,Gửi khách,Lời nhắn mở đầu trước gói tài liệu,,Xong,,,,
Checklist,Tài liệu bán hàng,Nội dung,Nhập tài liệu thật cho từng danh mục,,Chưa bắt đầu,,,,"Nhân sự nhập, hệ thống đã sẵn sàng"
Checklist,Tài liệu bán hàng,Nội dung,Nhập tư liệu từ Google Drive của công ty,,Chưa bắt đầu,,,,Cần chốt cách ánh xạ thư mục sang mã sản phẩm
Checklist,AI,Trả lời khách,Ba chế độ Tự động · Gợi ý · Tắt,,Xong,,,,
Checklist,AI,Trả lời khách,Tạm dừng AI theo mốc phút,,Xong,,,,
Checklist,AI,Trả lời khách,"Đội bot, mỗi bot có tính cách và kịch bản",,Xong,,,,
Checklist,AI,Ngữ cảnh,Đọc kiến thức chung và hồ sơ khách,,Xong,,,,
Checklist,AI,Ngữ cảnh,Đọc tài liệu bán hàng khi tư vấn,,Xong,,,,
Checklist,AI,Ngữ cảnh,Đọc ghi chú nội bộ của nhân viên,,Xong,,,,
Checklist,AI,Ngữ cảnh,Không để lộ tài liệu nội bộ ra khách,,Xong,,,,Đã kiểm chứng
Checklist,AI,Trợ lý nội bộ,Khung chat riêng cho nhân viên tra cứu,,Xong,,,,
Checklist,AI,Trợ lý nội bộ,Chọn bot để hỏi,,Xong,,,,
Checklist,AI,Chất lượng,Đo chất lượng câu trả lời,,Chưa bắt đầu,,,,
Checklist,Khách hàng,Danh sách,Tra cứu theo tên và số điện thoại,,Xong,,,,
Checklist,Khách hàng,Hồ sơ,Lịch sử mua hàng và điểm tích luỹ,,Xong,,,,
Checklist,Khách hàng,Hồ sơ,Hạng hội viên tính theo chi tiêu,,Xong,,,,
Checklist,CDP,Hợp nhất,Gom hồ sơ nhiều kênh về một khách,,Xong,,,,
Checklist,CDP,Phân nhóm,Chia nhóm theo hành vi mua,,Chưa bắt đầu,,,,
Checklist,Tự động hoá,Quy tắc,Kích hoạt theo sự kiện hội thoại,,Xong,,,,
Checklist,Tự động hoá,Quy tắc,Kiểm thử quy tắc trước khi bật rộng,,Chưa bắt đầu,,,,Quy tắc sai nhân bản lỗi rất nhanh
Checklist,Hướng dẫn sử dụng,Phần đọc,Chín module có nội dung hướng dẫn,,Xong,,,,
Checklist,Hướng dẫn sử dụng,Tour,Khung tour tương tác tô sáng giao diện thật,,Xong,,,,
Checklist,Hướng dẫn sử dụng,Tour,Tour Hội thoại đầy đủ 23 bước,,Xong,,,,
Checklist,Hướng dẫn sử dụng,Tour,Tour Tạo đơn chi tiết,,Chưa bắt đầu,,,,
Checklist,Hướng dẫn sử dụng,Tour,Tour Sản phẩm chi tiết,,Chưa bắt đầu,,,,Hiện mới có bản rút gọn 3 bước
Checklist,Hướng dẫn sử dụng,Tour,Tour Tài liệu bán hàng chi tiết,,Chưa bắt đầu,,,,Hiện mới có bản rút gọn 2 bước
Checklist,Hướng dẫn sử dụng,Tour,Tour AI chi tiết,,Chưa bắt đầu,,,,
Checklist,Vận hành,Kênh,Zalo cá nhân,,Xong,,,,
Checklist,Vận hành,Kênh,Zalo OA,,Xong,,,,
Checklist,Vận hành,Kênh,Web chat trên website,,Xong,,,,
Checklist,Vận hành,Kênh,Facebook và TikTok Shop,,Xong,,,,
Checklist,Vận hành,Triển khai,Gộp PR #1 vào main,,Đang làm,,,,Chờ review
Checklist,Vận hành,Triển khai,Đưa lên môi trường thật,,Chưa bắt đầu,,,,
Checklist,Vận hành,Triển khai,Đào tạo đội sale,,Chưa bắt đầu,,,,
Việc tồn & rủi ro,Chặn tính năng,,57 trong 78 sản phẩm chưa có mã,"Nút gửi link Mini App bị khoá cho phần lớn danh sách → Bổ sung mã ở hệ thống nguồn, hoặc đổi mẫu link sang dùng id",Chờ phụ thuộc,Cao,,,
Việc tồn & rủi ro,Chặn tính năng,,Chưa có địa chỉ Mini App thật,Không gửi được link đặt hàng cho khách → Cung cấp địa chỉ Mini App để đặt vào cấu hình máy chủ,Chờ phụ thuộc,Cao,,,
Việc tồn & rủi ro,Chặn tính năng,,Chưa có API sản phẩm chính thức của TDVN,Vẫn phải dùng bảng nội bộ tạm → TDVN cung cấp endpoint và khoá truy cập,Chờ phụ thuộc,Cao,,,
Việc tồn & rủi ro,Chặn tính năng,,CRM không trả mã khách khi tạo đơn,Phiếu bán hàng thiếu mã khách so với bản giấy → Bên CRM bổ sung trường này vào phản hồi,Chờ phụ thuộc,Trung bình,,,
Việc tồn & rủi ro,Dữ liệu,,29 sản phẩm đang ở trạng thái ngừng bán,"Không hiện ở màn gửi khách, gồm cả mặt hàng chủ lực → Xác nhận mặt hàng nào còn bán để mở lại",Chờ phụ thuộc,Trung bình,,,"Vạn Phúc, Vạn Thọ, Vạn Thịnh…"
Việc tồn & rủi ro,Dữ liệu,,Tài liệu bán hàng thật chưa được nhập,AI và sale thiếu tư liệu để tư vấn → Phân công nhân sự nhập nội dung theo từng danh mục,Chưa bắt đầu,Cao,,,
Việc tồn & rủi ro,Bảo mật,,Kho mã công khai có chứa khoá dịch vụ đã commit,Ai cũng tải về dùng được các khoá đó → Đổi toàn bộ khoá bị lộ và gỡ khỏi lịch sử git,Chưa bắt đầu,Cao,,,"Tệp khoá Google, bản sao lưu cơ sở dữ liệu"
Việc tồn & rủi ro,Bảo mật,,Cầu nối CRM không thực sự kiểm tra khoá,Bất kỳ ai gọi được cũng đọc ghi được dữ liệu CRM → Bật lại phần kiểm tra ở cầu nối phía CRM,Chưa bắt đầu,Cao,,,
Việc tồn & rủi ro,Bảo mật,,Khoá và mật khẩu ghi cứng trong mã nguồn,Lộ khi mã nguồn bị đọc → Chuyển hết sang biến môi trường,Chưa bắt đầu,Cao,,,
Việc tồn & rủi ro,Bảo mật,,Token CRM từng dán qua chat có chứa mật khẩu dạng thô,Tài khoản bị chiếm nếu token lọt ra ngoài → Đổi mật khẩu tài khoản CRM liên quan,Chưa bắt đầu,Cao,,,
Việc tồn & rủi ro,Riêng tư,,Thư mục uploads trong git có ảnh chat của khách thật,Lộ thông tin khách qua kho mã công khai → Gỡ khỏi git và chuyển sang lưu ngoài,Chưa bắt đầu,Cao,,,
Việc tồn & rủi ro,Cần làm rõ,,Chưa rõ khoá Evotech dùng cho đầu nối nào,Không đấu nối được dịch vụ liên quan → Cho biết endpoint và cách gửi khoá,Chờ phụ thuộc,Thấp,,,
Việc tồn & rủi ro,Vận hành,,Backend nội bộ đang giữ phiên Zalo thật của doanh nghiệp,"Thử nghiệm nhầm sẽ gửi tin cho khách thật → Chỉ thử trên hội thoại Web Chat, kiểm tra mã hội thoại trước khi gửi",Đang làm,Cao,,,Đã xảy ra một lần
